l1_name,brand_a,brand_b,distance,similarity,oh_a,oh_b,lwu_a,lwu_b,price_a,price_b
3620-HOUSEWARES,RACHAEL RAY,VIKING,0.1318,0.8835,33,42,33,11,25.22,25.87
3110-MISSES SPORTSWEAR,KISS __IA_CHAR_13 FLY,REMI JAMES,0.132,0.8834,46,61,216,134,12.18,12.46
3615-DOMESTICS,AVANTI,NICOLE MILLER,0.1323,0.8831,119,94,82,73,14.26,14.41
3135-DRESSES,DKNY,SOUTHERN TIDE,0.1325,0.883,137,139,1,22,39.32,38.79
3200-BEAUTY,IT HAIR CARE,LUSETA,0.1327,0.8829,29,18,75,106,5.65,6.33
3120-PLUS SPORTSWEAR,BOBEAU,KATE PARK,0.1332,0.8824,45,91,408,386,15.29,15.3
3115-MISSES BETTER SPORTSWEAR,CARMEN MARC VALVO,FOR THE REPUBLIC,0.134,0.8818,92,65,1,19,14.99,14.46
3200-BEAUTY,JAPONESQUE,PACIFICA,0.1372,0.8793,49,56,54,19,4.22,5.22
3200-BEAUTY,BEVERLY HILLS POLO CLUB,DKNY,0.1377,0.879,82,81,329,371,12.83,11.79
3200-BEAUTY,MANTHM,PIXI,0.1381,0.8786,29,30,65,5,7.11,7.26
3110-MISSES SPORTSWEAR,COCOMO,KISS __IA_CHAR_13 FLY,0.1406,0.8767,80,46,57,216,12.33,12.18
3200-BEAUTY,JUICY COUTURE,KIEHL__IA_CHAR_01S,0.1407,0.8767,64,68,89,43,11.7,12.62
3200-BEAUTY,BAYLIS __IA_CHAR_13 HARDING,NICKA K,0.1408,0.8766,35,32,81,72,4.74,6.18
3200-BEAUTY,LUSETA,NICKA K,0.1409,0.8765,18,32,106,72,6.33,6.18
3200-BEAUTY,IT HAIR CARE,MANTHM,0.1409,0.8765,29,29,75,65,5.65,7.11
3200-BEAUTY,BAYLIS __IA_CHAR_13 HARDING,JAPONESQUE,0.1411,0.8764,35,49,81,54,4.74,4.22
3200-BEAUTY,CLARINS,OSCAR DE LA RENTA,0.1427,0.8751,90,100,8,53,23.1,23.67
3720-HARDLINES,FIRESTONE,JUICY COUTURE,0.1438,0.8743,18,35,101,96,14.45,13.93
3510-LADIES FOOTWEAR,CIRCUS BY SAM EDELMAN,JBU,0.144,0.8741,365,351,141,139,28.66,27.36
3110-MISSES SPORTSWEAR,CABLE __IA_CHAR_13 GAUGE,COCOMO,0.1448,0.8735,62,80,2,57,11.99,12.33
3165-HANDBAGS,SAKROOTS,VERA BRADLEY,0.1462,0.8724,97,92,7,15,19.45,21.39
3115-MISSES BETTER SPORTSWEAR,JASON WU,PARKER,0.1462,0.8724,87,31,26,33,18.95,19.36
3620-HOUSEWARES,MEDICI,TRIOBRO,0.1495,0.87,35,47,46,61,12.44,13.38
